ZIP,Region
92101,Central
92102,Central
92103,Central
92104,Central
92105,Central
92113,Central
92114,Central
92115,Central
92116,Central
92134,Central
92136,Central
92139,Central
92182,Central
91901,East
91905,East
91906,East
91916,East
91917,East
91931,East
91934,East
91935,East
91941,East
91942,East
91945,East
91948,East
91962,East
91963,East
91977,East
91978,East
91980,East
92019,East
92020,East
92021,East
92040,East
92071,East
92037,North Central
92093,North Central
92106,North Central
92107,North Central
92108,North Central
92109,North Central
92110,North Central
92111,North Central
92117,North Central
92119,North Central
92120,North Central
92121,North Central
92122,North Central
92123,North Central
92124,North Central
92126,North Central
92130,North Central
92131,North Central
92140,North Central
92145,North Central
92161,North Central
92007,North Coastal
92008,North Coastal
92009,North Coastal
92010,North Coastal
92011,North Coastal
92014,North Coastal
92024,North Coastal
92054,North Coastal
92055,North Coastal
92056,North Coastal
92057,North Coastal
92058,North Coastal
92067,North Coastal
92075,North Coastal
92081,North Coastal
92083,North Coastal
92084,North Coastal
92091,North Coastal
92672,North Coastal
92003,North Inland
92004,North Inland
92025,North Inland
92026,North Inland
92027,North Inland
92028,North Inland
92029,North Inland
92036,North Inland
92059,North Inland
92060,North Inland
92061,North Inland
92064,North Inland
92065,North Inland
92066,North Inland
92069,North Inland
92070,North Inland
92078,North Inland
92082,North Inland
92086,North Inland
92096,North Inland
92127,North Inland
92128,North Inland
92129,North Inland
92259,North Inland
92536,North Inland
91902,South
91910,South
91911,South
91913,South
91914,South
91915,South
91932,South
91950,South
92118,South
92135,South
92154,South
92155,South
92173,South