Year,Disease Week,Domestic,Mexico,International,Total Number of Cases (Interviewed Only)
2020,23,0,6,0,213
2020,24,40,60,0,841
2020,25,153,84,0,1511
2020,26,270,85,1,2288
2020,27,301,92,2,2609
2020,28,362,123,2,3248
2020,29,278,136,3,2761
2020,30,197,128,2,2271
2020,31,154,129,1,1946
2020,32,111,122,0,1560
2020,33,102,119,1,1438
2020,34,95,110,1,1245
2020,35,141,140,2,1410
2020,36,202,98,1,1696
2020,37,178,109,5,1486
2020,38,160,126,3,1626
2020,39,152,135,3,1507
2020,40,129,135,6,1532
2020,41,198,147,5,1733
2020,42,178,154,5,1633
2020,43,238,179,5,1832
2020,44,258,201,10,1970
2020,45,394,218,11,3057
2020,46,397,243,10,3795
2020,47,600,375,9,6236
2020,48,400,261,7,5084
2020,49,588,332,5,5568
2020,50,315,185,2,4552
2020,51,310,245,5,5955
2020,52,260,150,4,5160
2020,53,396,161,7,5382
2021,1,545,248,8,6240
2021,2,521,277,16,7080
2021,3,358,215,14,6818
2021,4,331,128,10,5726
2021,5,244,113,5,4749
2021,6,179,81,5,3100
2021,7,121,67,1,2155
2021,8,129,36,2,1574
2021,9,91,42,5,1223
2021,10,95,22,4,1027
2021,11,109,28,5,904
2021,12,106,24,1,900
2021,13,146,25,13,1000
2021,14,162,38,6,1011
2021,15,163,23,11,1075
2021,16,121,27,9,884
2021,17,66,18,3,685
2021,18,75,20,3,639
2021,19,59,21,2,544
2021,20,58,21,4,433
2021,21,50,27,4,346
2021,22,41,11,2,317
2021,23,39,14,3,263
2021,24,34,19,1,295
2021,25,60,45,4,410
2021,26,83,47,8,522
2021,27,197,52,8,992
2021,28,291,69,15,1480
2021,29,317,90,9,1904
2021,30,300,73,12,1963
2021,31,277,50,13,1888
2021,32,254,59,8,1946
2021,33,256,53,14,1880
2021,34,177,46,9,1668
2021,35,214,35,7,1857
2021,36,206,36,10,1767
2021,37,213,49,0,1772
2021,38,209,50,7,1663
2021,39,235,40,10,1738
2021,40,212,57,13,1742
2021,41,217,51,10,1662
2021,42,231,59,4,1895
2021,43,238,75,8,1839
2021,44,218,69,8,1799
2021,45,169,66,6,1653
2021,46,222,62,4,1746
2021,47,215,47,5,1452
2021,48,373,89,8,2268
2021,49,295,61,9,2193
2021,50,420,81,16,2421
2021,51,328,25,13,1928
2021,52,281,44,15,2237
2022,1,334,60,10,2008
2022,2,162,68,10,1676
2022,3,127,59,7,1997
2022,4,139,59,8,1864
2022,5,126,57,8,2314
2022,6,130,66,9,1993
2022,7,136,48,9,1934
2022,8,103,36,6,1256
2022,9,47,12,6,483